"filename", "language", "JSON", "JavaScript", "YAML", "Markdown", "comment", "blank", "total"
"d:\projects\money-lover-api\egg-RESTfulAPI\.autod.conf.js", "JavaScript", 0, 28, 0, 0, 0, 3, 31
"d:\projects\money-lover-api\egg-RESTfulAPI\.github\workflows\nodejs.yml", "YAML", 0, 0, 31, 0, 2, 10, 43
"d:\projects\money-lover-api\egg-RESTfulAPI\.travis.yml", "YAML", 0, 0, 11, 0, 0, 2, 13
"d:\projects\money-lover-api\egg-RESTfulAPI\README.md", "Markdown", 0, 0, 0, 28, 1, 15, 44
"d:\projects\money-lover-api\egg-RESTfulAPI\README.zh-CN.md", "Markdown", 0, 0, 0, 24, 1, 15, 40
"d:\projects\money-lover-api\egg-RESTfulAPI\app\controller\bill.js", "JavaScript", 0, 68, 0, 0, 6, 7, 81
"d:\projects\money-lover-api\egg-RESTfulAPI\app\controller\home.js", "JavaScript", 0, 9, 0, 0, 0, 3, 12
"d:\projects\money-lover-api\egg-RESTfulAPI\app\controller\tag.js", "JavaScript", 0, 43, 0, 0, 15, 7, 65
"d:\projects\money-lover-api\egg-RESTfulAPI\app\controller\userAccess.js", "JavaScript", 0, 26, 0, 0, 9, 6, 41
"d:\projects\money-lover-api\egg-RESTfulAPI\app\extend\helper.js", "JavaScript", 0, 10, 0, 0, 2, 3, 15
"d:\projects\money-lover-api\egg-RESTfulAPI\app\middleware\error_handler.js", "JavaScript", 0, 23, 0, 0, 3, 2, 28
"d:\projects\money-lover-api\egg-RESTfulAPI\app\model\bill.js", "JavaScript", 0, 36, 0, 0, 0, 4, 40
"d:\projects\money-lover-api\egg-RESTfulAPI\app\model\tag.js", "JavaScript", 0, 34, 0, 0, 0, 4, 38
"d:\projects\money-lover-api\egg-RESTfulAPI\app\model\user.js", "JavaScript", 0, 18, 0, 0, 0, 4, 22
"d:\projects\money-lover-api\egg-RESTfulAPI\app\router.js", "JavaScript", 0, 47, 0, 0, 6, 2, 55
"d:\projects\money-lover-api\egg-RESTfulAPI\app\service\actionToken.js", "JavaScript", 0, 17, 0, 0, 0, 4, 21
"d:\projects\money-lover-api\egg-RESTfulAPI\app\service\bill.js", "JavaScript", 0, 196, 0, 0, 0, 5, 201
"d:\projects\money-lover-api\egg-RESTfulAPI\app\service\tag.js", "JavaScript", 0, 80, 0, 0, 0, 5, 85
"d:\projects\money-lover-api\egg-RESTfulAPI\app\service\user.js", "JavaScript", 0, 100, 0, 0, 7, 12, 119
"d:\projects\money-lover-api\egg-RESTfulAPI\app\service\userAccess.js", "JavaScript", 0, 33, 0, 0, 2, 5, 40
"d:\projects\money-lover-api\egg-RESTfulAPI\appveyor.yml", "YAML", 0, 0, 11, 0, 0, 4, 15
"d:\projects\money-lover-api\egg-RESTfulAPI\config\config.default.js", "JavaScript", 0, 43, 0, 0, 16, 8, 67
"d:\projects\money-lover-api\egg-RESTfulAPI\config\config.prod.js", "JavaScript", 0, 47, 0, 0, 7, 7, 61
"d:\projects\money-lover-api\egg-RESTfulAPI\config\plugin.js", "JavaScript", 0, 20, 0, 0, 6, 4, 30
"d:\projects\money-lover-api\egg-RESTfulAPI\database\config.json", "JSON", 28, 0, 0, 0, 0, 1, 29
"d:\projects\money-lover-api\egg-RESTfulAPI\database\migrations\20210413054953-init-users.js", "JavaScript", 0, 16, 0, 0, 2, 2, 20
"d:\projects\money-lover-api\egg-RESTfulAPI\database\migrations\20210413060250-init-tags.js", "JavaScript", 0, 32, 0, 0, 0, 2, 34
"d:\projects\money-lover-api\egg-RESTfulAPI\database\migrations\20210413060427-init-bills.js", "JavaScript", 0, 34, 0, 0, 0, 2, 36
"d:\projects\money-lover-api\egg-RESTfulAPI\package.json", "JSON", 61, 0, 0, 0, 0, 1, 62
"d:\projects\money-lover-api\egg-RESTfulAPI\test\app\controller\home.test.js", "JavaScript", 0, 14, 0, 0, 2, 6, 22
"Total", "-", 89, 974, 53, 52, 87, 155, 1410